query,published_utc,title,publisher,url
macOS 27,2026-09-08 07:00:00+00:00,macOS 27 Golden Gate could be released sooner than you think - The Apple Post,The Apple Post,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOalFucWlEOVk1M0MtTWVJMkhGZE90bUNsbnM1QWFoR2JLcWhMX18zeUZyQ3VYMmpkd1ZyMGZQMWE4X3VkVjc1OGZtMllDNlRmd2hSWXBIa19tSnFRc3I1dEFtTFZhdnFVVmVPRkdHT2VjX0VlQTJGTEZNSENuZDlsNGVkSi0xcGc4WllwTlhuWk1VQ21Qa01jRTdjVTNnazhtMWFjdlJtSnZrbWvSAbABQVVfeXFMT0xmdDlfWHJtQk5SNmNobWs3YVhvZzdCY3J2bW1HZk5NVUZGRTUzNmlJWDFNdV81ZXIwaVNSVDhuV3lQclhCUFRUR1FVcDdfMF80MXJIVFNmVXdvdkZROXpDWlFhNjBEdS1uMnhTdkRQNzFCUHFlcGs5UmFJaEhOQTZWeTRoRzVOXy1tcFpUVXVnSlR4SkhFNGUxOGI0R2dkTTRKWFREeXIxTXRUNzZFS3Y?oc=5
iPadOS 27,2026-09-08 07:00:00+00:00,"iOS 26.6.2, iPadOS 26.6.2 land as iOS 27 gets closer to release - AppleInsider",AppleInsider,https://news.google.com/rss/articles/CBMiowFBVV95cUxPcTIza1lMMFRvQWxKUnRWZDhMdjU0WTBKQ3Zqd0RkX18zOGZuRFQ4Z2UtVTRVLVBPRHBZSjl0Q0czU0RpVGQzdmkzeW55VkRldFZfQkRlbVBHa1dpTXl0ZEoxeXNWMDduNHJyN2hHZXJweVdPanRZZEp3Vk1BMmdPSGwwU010S1cyUWRldUpockY3dmZqaG5VNnNWbnRRQV9TT2tF?oc=5
iPadOS 27,2026-09-08 07:00:00+00:00,"I explored iOS 27 beta 8, and while Apple fixed a ton, big bugs remain - PhoneArena",PhoneArena,https://news.google.com/rss/articles/CBMipgFBVV95cUxOM3M3Ykx5UzNENzhfQ0RIVndkLTFNcWZVdTdUYVdNOWlLWGNDSGtmenkyOTByd0thSVZobjNsbGswb0VzaFo1N0FRaWFDWVR6dG92Wmo3WnZVNlRNLXNJTE1DeThGTVo2LXJUZ3pDcXB2UTMyUGlWN0pQWXBDcjY0SThsTjNYLU13TWxqZFBtcHNjQVRTVTNOSV9SQVM3S1c0SVJOeWNB?oc=5
Android 17,2026-09-08 07:00:00+00:00,"Sony Xperia 1 VIII receives the Android 17 update, here's what's new - GSMArena.com news - GSMArena.com",GSMArena.com,https://news.google.com/rss/articles/CBMiowFBVV95cUxQNVp5bW80STM4VkZheTRoOXhtbmZaSzAyRG5tY3F4SFBJTFVfOFN2UXphQWNsZ0lNWERDazRTdVB3YkZFWndfbHpWd3RXZTNOSmRKTmRjdHpocXh1dzNIZkdrQkJ1dDc2alVWd0VlQzJ5U1YtdG5yYVAxWDZVVFdDeXJCMDdpQTRJejlwT09McU5FS2NvSDNxUVcwYWxwMWFldFhB0gGfAUFVX3lxTFBUbnZVOTQzSGpCT1liWXJJSWZMOXFwY3BEUHI3eWdCMjFXZ1pkTEVwNlBZTHkwZWNKM0V5UGRIZ09MTEVXQk1VbDRFLUh6X3Z2MkQ2ZFYzM0QxMTIwZWduazBPdVB0WHhGcmVreFdYb1RxdDdTVVZELTNROTZ6eWdldFVOcjNldm1wQURhampwbmx6TXB6d2tqa2xlcVMtYw?oc=5
iPadOS 27,2026-09-09 07:00:00+00:00,Apple Seeds iOS 27 and iPadOS 27 Release Candidates - MacRumors,MacRumors,https://news.google.com/rss/articles/CBMiY0FVX3lxTFBncm1wRXlSS1NZcE9hMTNQVndscGIzcHotSEgzLVc0VllUT2h0Wi01MDVndHhsWVlYOXlmTy1LUmhxbWhuLUpMYUVyUXM4TTZqQ3BjY1hnZXhRd21wTTJtUnF3aw?oc=5
iPadOS 27,2026-09-09 07:00:00+00:00,"iOS 27 arrives on September 14, here's what you'll get - AppleInsider",AppleInsider,https://news.google.com/rss/articles/CBMimgFBVV95cUxOblZ3akx6LURCWnYtN081MkZLZ3ZzeE5LWmJYZXZRcG5MaUZOdUxNeGFwRnBHdk1kRFNXS3dnMklIOUJDMFNTNzI3Qmw1Rk5HR01rRWctY3g0RGNCYjZIcnNfR1plWGNqNlNkSDlpZU5kWjIzOTdPQllrMWo1WFZJQk1vS3RIUDFCYy1BMHNSNHhGMFFRYzRzUXRn?oc=5
iPadOS 27,2026-09-09 07:00:00+00:00,"iPadOS 27 launches on September 14, here are the compatible devices - 9to5Mac",9to5Mac,https://news.google.com/rss/articles/CBMif0FVX3lxTE9Bc2EyYVM2SXRsM0lrRndRZjBYU3ZSS0lXMmVLeGRwY3ZYN3pQNWVLM0lTSGQ0R0ZPUWMweEVHNG5vdHo4YmI1WnBkV19FOURWdmdVNUw4Yi1DcnRDSU5kSlNuQTEtekJMUzhkRDkwMDNzSWtUNm5XVTQ1b0dUcmc?oc=5
iPadOS 27,2026-09-09 07:00:00+00:00,"Apple releases iPadOS 27 RC, plus watchOS 27 and more - 9to5Mac",9to5Mac,https://news.google.com/rss/articles/CBMijAFBVV95cUxPODl3VF9mQWRwejFLY29LVHVaa2lmZ3dpWE16SUUwOUc5ZU5uVk9vdFFLTGxhbl9iWmFpTlhqSzFpTVcxMFpmdDA3d2cwWTVSVkl1R1RLbzhHdnpSdXZPZ1ZQb0dXbjNPSVFGUlhqUVdRTnVRaDVmcEJ0TTJIUFRMVHhmUUI1d2lFWHFWZQ?oc=5
iPadOS 27,2026-09-09 07:00:00+00:00,"First release candidates of iOS 27, macOS 27 arrive as release nears - AppleInsider",AppleInsider,https://news.google.com/rss/articles/CBMirwFBVV95cUxOZWdTbms3QldGOUh3Y0tUWVlOUEExTlg2Z0FDX3BKR1ZncXQ2eWFkNzNFalJHc1hHVF9zRFRtOWNfMlFkeHBRVEtZWXZjeVVPQ0loWlVQcDZsRDBFbnkxdktoa3E0VTh0S3JGM1podzRFREtyeVdfTV9NV2R4U1V1TDczZTNUc3BSZVNXcF84MnJmMHZGZjhUUXltZ3I1T21VQmpyUnA5ZS02Wm9VTk9R?oc=5
Apple Intelligence,2026-09-09 07:00:00+00:00,"Introducing Apple Watch Series 12, with the all-new Health Sensing System - Apple",Apple,https://news.google.com/rss/articles/CBMisgFBVV95cUxOWGFtdWNJcy1ibGVLaFZWM3pvYmZ6VEg4NkhWVFhMd1I4ZmgzMlNWUi1JZ2JUeHBQbV9aUW1KYktSclRGM0lJcXJ4YVpHR2l0bjRvX2RZdHc2dFE1bFhzdzJFTFlWdi1ITWRuLUZHQXVqdDc1ZF85WWFPYmQxSXBXajVDaU5FYnItQVUtY2M3UmtDd1N2VEhvTHIyNHFfZUxmakxTVF81LTNIclQ4ejduLVJR?oc=5
iPadOS 27,2026-09-09 07:00:00+00:00,"This is when iOS 27, iPadOS 27, watchOS 27 and macOS Golden Gate arrive - Cult of Mac",Cult of Mac,https://news.google.com/rss/articles/CBMie0FVX3lxTE1lWjJ6T3ZwUVF2eVcwZ2lsejBXRUd4LXVzeVJ5TDVGMGYzVmVmT25oSkRuY0d6OXN5LTVNcTlpdW1fYnFVa0NKZHYweGExSXdVTDJVaVc2bnk0akZnLTV6Y3d6N0xlTXVRck1NbU5nSER4OGJjanN4UmZyZw?oc=5
