entity,mentions,authors,pos,neg,net,median_engagement
bugs/crashes,181,169,0.0718,0.7459,-0.674,1.0
notifications,54,48,0.0185,0.6296,-0.6111,7.5
privacy,50,50,0.12,0.54,-0.42,2.0
install/update process,149,138,0.1745,0.4765,-0.302,1.0
Siri/assistant,279,246,0.129,0.4014,-0.2724,1.0
performance,115,106,0.3043,0.5565,-0.2522,1.0
macOS 27,378,318,0.2328,0.4577,-0.2249,1.0
Apple Intelligence,344,293,0.157,0.3779,-0.2209,1.0
Android 17,127,104,0.1181,0.3071,-0.189,1.0
iOS 27,784,650,0.2066,0.3699,-0.1633,1.0
battery,59,57,0.2542,0.4068,-0.1525,1.0
UI/design,173,151,0.2543,0.3526,-0.0983,1.0
iPadOS 27,83,68,0.1807,0.2651,-0.0843,1.5
