created_utc,n,pos,neg,neu,pos_share,neg_share,net
2026-09-09 12:00:00+00:00,45,10,8,27,0.2222,0.1778,0.0444
2026-09-14 12:00:00+00:00,148,50,27,71,0.3378,0.1824,0.1554
2026-09-15 00:00:00+00:00,151,29,68,54,0.1921,0.4503,-0.2583
2026-09-15 12:00:00+00:00,138,23,68,47,0.1667,0.4928,-0.3261
2026-09-16 00:00:00+00:00,64,16,22,26,0.25,0.3438,-0.0938
2026-09-16 12:00:00+00:00,96,18,34,44,0.1875,0.3542,-0.1667
2026-09-17 00:00:00+00:00,82,25,32,25,0.3049,0.3902,-0.0854
2026-09-17 12:00:00+00:00,106,17,50,39,0.1604,0.4717,-0.3113
2026-09-18 00:00:00+00:00,58,7,30,21,0.1207,0.5172,-0.3966
2026-09-18 12:00:00+00:00,87,6,54,27,0.069,0.6207,-0.5517
2026-09-19 00:00:00+00:00,67,8,35,24,0.1194,0.5224,-0.403
2026-09-19 12:00:00+00:00,123,11,58,54,0.0894,0.4715,-0.3821
2026-09-20 00:00:00+00:00,139,22,52,65,0.1583,0.3741,-0.2158
